method_id,parent_method,benchmark_scope,method_family_raw,method_family,method_origin,implementation_principle,implementation_language,source_or_url,publication_year,reference,is_variant,variant_note,method_order
SAUCIE,SAUCIE,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,"SAUCIE employs a deep autoencoder with multiple regularization terms to simultaneously accomplish tasks such as dimensionality reduction, denoising, and clustering",python,https://github.com/KrishnaswamyLab/SAUCIE,2019.0,Amodio et al. 2019,False,,11
scScope,scScope,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,scScope employs a deep recurrent autoencoder to iteratively repair missing values in scRNA-seq data while simultaneously performing batch normalization and feature learning,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,Deng et al. 2019,False,,12
SCDRHA,SCDRHA,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,"SCDRHA first applies DCA for denoising, then employs a graph attention autoencoder for dimensionality reduction",python,https://github.com/WHY-17/SCDRHA,2021.0,Zhao et al. 2021,False,,13
scGAE,scGAE,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,scGAE achieves dimensionality reduction by constructing cell maps and using graph autoencoders,python,https://github.com/ZixiangLuo1161/scGAE,2021.0,Luo et al. 2021,False,,14
DREAM,DREAM,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,"DREAM employs a combination of variational autoencoders and mixture of Gaussians for dimensionality reduction of scRNA-seq data, utilizing a ZI layer to handle dropout events",python,https://github.com/Crystal-JJ/DREAM,2023.0,Jiang et al. 2023,False,,15
DRA,DRA,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,DRA employs adversarial variational autoencoders for dimensionality reduction,python,https://github.com/eugenelin1/DRA,2020.0,Lin et al. 2020,False,,16
UMAP,UMAP,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,general-purpose or visualization method adapted for scRNA-seq benchmark,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its topological structure.,python,https://github.com/lmcinnes/umap,2018.0,McInnes et al. 2020; Becht et al. 2019,False,,17
SIMLR,SIMLR,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,single-cell-specific,"SIMLR adaptively learns the optimal similarity matrix between cells through multi-core learning, utilizing this matrix for dimensionality reduction.",R,https://github.com/BatzoglouLabSU/SIMLR,2017.0,Wang et al. 2017,False,,18
PHATE,PHATE,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,general-purpose or visualization method adapted for scRNA-seq benchmark,PHATE performs dimensionality reduction through multidimensional scaling analysis while preserving topological information by constructing the diffusion geometry of the data.,python,https://github.com/KrishnaswamyLab/PHATE,2017.0,Moon et al. 2019,False,,19
EDGE,EDGE,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,single-cell-specific,EDGE constructs an inter-cell similarity matrix by integrating numerous weak learners and performs dimensionality reduction based on this matrix.,R,https://github.com/shawnstat/EDGE,2020.0,Sun et al. 2020,False,,20
SPDR,SPDR,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,single-cell-specific,SPDR achieves dimension reduction that preserves data structure while correcting batch effects by cross-batch sampling triplets and optimizing the loss function.,python,https://github.com/eleozzr/SPDR,2023.0,Xu and Li 2023,False,,21
IVIS,IVIS,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,Ivis employs a concatenated neural network and triplet loss to map high-dimensional data to low dimensions while supporting rapid embedding of new data points.,python,https://github.com/beringresearch/ivis,2019.0,Szubert et al. 2019,False,,22
PaCMAP,PaCMAP,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,"PaCMAP preserves the topological structure of data while performing dimensionality reduction by constructing three types of point pairs: nearest neighbors, intermediate neighbors, and distant neighbors.",python,https://github.com/YingfanWang/PaCMAP,2021.0,Wang et al. 2021,False,,23
t-SNE,t-SNE,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,t-SNE transforms the similarity between high-dimensional points into probability distributions and matches these distributions in a low-dimensional space to achieve dimensionality reduction while preserving structural information.,R,Rtsne 0.17,2008.0,Hinton and Roweis 2002,False,,24
TriMap,TriMap,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,TriMap learns low-dimensional embeddings by sampling triplet constraints from high-dimensional data and optimizing the loss function.,python,https://github.com/eamid/trimap?tab=readme-ov-file,2019.0,Amid and Warmuth 2022,False,,25
SQuaD-MDS,SQuaD-MDS,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,"SQuadMDS randomly groups data into quadruplets and utilizes gradient descent to optimize relative distance error, achieving multidimensional scaling with linear complexity.",python,https://github.com/PierreLambert3/SQuaD-MDS-and-FItSNE-hybrid,2022.0,Lambert et al. 2022,False,,26
Parametric UMAP 50,UMAP,original_result_variant,Graph-Based and Diffusion Geometry Models,graph/diffusion,general-purpose or visualization method adapted for scRNA-seq benchmark,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its topological structure.,python,https://github.com/lmcinnes/umap,2018.0,McInnes et al. 2020; Becht et al. 2019,True,Shown in original result files as a parameter/workflow variant.,27
Parametric UMAP 200,UMAP,original_result_variant,Graph-Based and Diffusion Geometry Models,graph/diffusion,general-purpose or visualization method adapted for scRNA-seq benchmark,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its topological structure.,python,https://github.com/lmcinnes/umap,2018.0,McInnes et al. 2020; Becht et al. 2019,True,Shown in original result files as a parameter/workflow variant.,28
SQuaD-MDS hybrid,SQuaD-MDS,original_result_variant,Metric Learning and Structure-Aware Embedding,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,"SQuadMDS randomly groups data into quadruplets and utilizes gradient descent to optimize relative distance error, achieving multidimensional scaling with linear complexity.",python,https://github.com/PierreLambert3/SQuaD-MDS-and-FItSNE-hybrid,2022.0,Lambert et al. 2022,True,Shown in original result files as a parameter/workflow variant.,29
scVI,scVI,targeted_revision_control_only,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,Deep generative model included only in targeted revision-control analyses.,Python,scvi-tools,,Lopez et al. 2018,False,Not counted as a full 100-dataset benchmark method in the revised manuscript.,30
