method_order,method_id,parent_method,benchmark_scope,method_family,method_origin,implementation_principle,implementation_language,source_or_url,publication_year,reference,is_variant,variant_note
16.0,DRA,DRA,Full benchmark,deep generative/autoencoder,single-cell-specific,DRA employs adversarial variational autoencoders for dimensionality reduction,python,https://github.com/eugenelin1/DRA,2020.0,Lin et al. 2020,False,not applicable
17.0,Parametric UMAP 200,UMAP,Result variants,graph/diffusion,general-purpose or visualization method adapted for scRNA-seq benchmark,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its neighborhood structure.,python,https://github.com/lmcinnes/umap,2018.0,McInnes et al. 2020; Becht et al. 2019,True,Shown in benchmark result files as a parameter/workflow variant.
17.0,Parametric UMAP 50,UMAP,Result variants,graph/diffusion,general-purpose or visualization method adapted for scRNA-seq benchmark,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its neighborhood structure.,python,https://github.com/lmcinnes/umap,2018.0,McInnes et al. 2020; Becht et al. 2019,True,Shown in benchmark result files as a parameter/workflow variant.
17.0,UMAP,UMAP,Full benchmark,graph/diffusion,general-purpose or visualization method adapted for scRNA-seq benchmark,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its neighborhood structure.,python,https://github.com/lmcinnes/umap,2018.0,McInnes et al. 2020; Becht et al. 2019,False,not applicable
18.0,SIMLR,SIMLR,Full benchmark,graph/diffusion,single-cell-specific,"SIMLR adaptively learns the optimal similarity matrix between cells through multi-core learning, utilizing this matrix for dimensionality reduction.",R,https://github.com/BatzoglouLabSU/SIMLR,2017.0,Wang et al. 2017,False,not applicable
19.0,PHATE,PHATE,Full benchmark,graph/diffusion,general-purpose or visualization method adapted for scRNA-seq benchmark,PHATE performs dimensionality reduction through multidimensional scaling analysis while preserving geometric information by constructing the diffusion geometry of the data.,python,https://github.com/KrishnaswamyLab/PHATE,2017.0,Moon et al. 2019,False,not applicable
20.0,EDGE,EDGE,Full benchmark,graph/diffusion,single-cell-specific,EDGE constructs an inter-cell similarity matrix by integrating numerous weak learners and performs dimensionality reduction based on this matrix.,R,https://github.com/shawnstat/EDGE,2020.0,Sun et al. 2020,False,not applicable
21.0,SPDR,SPDR,Full benchmark,graph/diffusion,single-cell-specific,SPDR achieves dimension reduction that preserves data structure while correcting batch effects by cross-batch sampling triplets and optimizing the loss function.,python,https://github.com/eleozzr/SPDR,2023.0,Xu and Li 2023,False,not applicable
22.0,IVIS,IVIS,Full benchmark,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,Ivis employs a concatenated neural network and triplet loss to map high-dimensional data to low dimensions while supporting rapid embedding of new data points.,python,https://github.com/beringresearch/ivis,2019.0,Szubert et al. 2019,False,not applicable
23.0,PaCMAP,PaCMAP,Full benchmark,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,"PaCMAP preserves the neighborhood structure of data while performing dimensionality reduction by constructing three types of point pairs: nearest neighbors, intermediate neighbors, and distant neighbors.",python,https://github.com/YingfanWang/PaCMAP,2021.0,Wang et al. 2021,False,not applicable
24.0,t-SNE,t-SNE,Full benchmark,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,t-SNE transforms the similarity between high-dimensional points into probability distributions and matches these distributions in a low-dimensional space to achieve dimensionality reduction while preserving structural information.,R,Rtsne 0.17,2008.0,Hinton and Roweis 2002,False,not applicable
25.0,TriMap,TriMap,Full benchmark,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,TriMap learns low-dimensional embeddings by sampling triplet constraints from high-dimensional data and optimizing the loss function.,python,https://github.com/eamid/trimap?tab=readme-ov-file,2019.0,Amid and Warmuth 2022,False,not applicable
26.0,SQuaD-MDS,SQuaD-MDS,Full benchmark,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,"SQuadMDS randomly groups data into quadruplets and utilizes gradient descent to optimize relative distance error, achieving multidimensional scaling with linear complexity.",python,https://github.com/PierreLambert3/SQuaD-MDS-and-FItSNE-hybrid,2022.0,Lambert et al. 2022,False,not applicable
26.0,SQuaD-MDS hybrid,SQuaD-MDS,Result variants,metric/structure-aware,general-purpose or visualization method adapted for scRNA-seq benchmark,"SQuadMDS randomly groups data into quadruplets and utilizes gradient descent to optimize relative distance error, achieving multidimensional scaling with linear complexity.",python,https://github.com/PierreLambert3/SQuaD-MDS-and-FItSNE-hybrid,2022.0,Lambert et al. 2022,True,Shown in benchmark result files as a parameter/workflow variant.
30.0,scVI,scVI,Targeted analysis,deep generative/autoencoder,single-cell-specific,Deep generative model included only in targeted sensitivity analyses.,Python,scvi-tools,2018.0,Lopez et al. 2018,False,Not counted as a full 100-dataset benchmark method in the manuscript.
