record_type,item,value,method_scope,dataset_scope,parameter_scope,primary_figure,evidence_or_note
Figure 6 QA summary,workflow_datasets,8,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,hvg_rows,576,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,hvg_methods,6,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,hvg_datasets,8,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,hvg_requested_values,"500,1000,2000,3000",not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,runtime_rows_plotted,1618,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,control_sensitivity_rows,410,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,control_sensitivity_layers,4,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,control_sensitivity_methods,10,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,top_dimension_delta_method,scVI,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,top_dimension_delta,0.83499442315783,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,workflow_delta_median,0.0395041946239454,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,input_gene_3000_top_method,PCA,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,input_gene_3000_top_median_ari,1.0,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,max_median_control_effect_method,scVI,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,max_median_control_effect,0.7041712796257431,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,max_median_memory_control_layer,hvg,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,max_median_memory_gb,1.768169403076172,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,top_ari_runtime_tradeoff_method,PCA,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
Figure 6 QA summary,top_ari_runtime_tradeoff_source,dimension,not applicable,not applicable,not applicable,Figure 6,Computed from the polished Figure 6 source-data QA summary.
