method_id,parent_method,benchmark_scope,method_family_raw,method_family,implementation_principle,implementation_language,source_or_url,publication_year,reference,is_variant,variant_note,method_order,source,index,count
SAUCIE,SAUCIE,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"SAUCIE employs a deep autoencoder with multiple regularization terms to simultaneously accomplish tasks such as dimensionality reduction, denoising, and clustering",python,https://github.com/KrishnaswamyLab/SAUCIE,2019.0,"(Amodio et al., 2019)",False,,11.0,method_manifest,,
scScope,scScope,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,scScope employs a deep recurrent autoencoder to iteratively repair missing values in scRNA-seq data while simultaneously performing batch normalization and feature learning,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,"(Deng et al., 2019)",False,,12.0,method_manifest,,
SCDRHA,SCDRHA,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"SCDRHA first applies DCA for denoising, then employs a graph attention autoencoder for dimensionality reduction",python,https://github.com/WHY-17/SCDRHA,2021.0,"(Zhao et al., 2021)",False,,13.0,method_manifest,,
scGAE,scGAE,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,scGAE achieves dimensionality reduction by constructing cell maps and using graph autoencoders,python,https://github.com/ZixiangLuo1161/scGAE,2021.0,"(Luo et al., 2021)",False,,14.0,method_manifest,,
DREAM,DREAM,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"DREAM employs a combination of variational autoencoders and mixture of Gaussians for dimensionality reduction of scRNA-seq data, utilizing a ZI layer to handle dropout events",python,https://github.com/Crystal-JJ/DREAM,2023.0,"(Jiang et al., 2023)",False,,15.0,method_manifest,,
DRA,DRA,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,DRA employs adversarial variational autoencoders for dimensionality reduction,python,https://github.com/eugenelin1/DRA,2020.0,"(Lin et al., 2020)",False,,16.0,method_manifest,,
UMAP,UMAP,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its neighborhood structure.,python,https://github.com/lmcinnes/umap,2018.0,"(Becht et al., 2019)",False,,17.0,method_manifest,,
SIMLR,SIMLR,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,"SIMLR adaptively learns the optimal similarity matrix between cells through multi-core learning, utilizing this matrix for dimensionality reduction.",R,https://github.com/BatzoglouLabSU/SIMLR,2017.0,"(B. Wang et al., n.d.)",False,,18.0,method_manifest,,
PHATE,PHATE,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,PHATE performs dimensionality reduction through multidimensional scaling analysis while preserving geometric information by constructing the diffusion geometry of the data.,python,https://github.com/KrishnaswamyLab/PHATE,2017.0,"(Moon et al., 2019)",False,,19.0,method_manifest,,
EDGE,EDGE,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,EDGE constructs an inter-cell similarity matrix by integrating numerous weak learners and performs dimensionality reduction based on this matrix.,R,https://github.com/shawnstat/EDGE,2020.0,"(Sun et al., 2020)",False,,20.0,method_manifest,,
SPDR,SPDR,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,SPDR achieves dimension reduction that preserves data structure while correcting batch effects by cross-batch sampling triplets and optimizing the loss function.,python,https://github.com/eleozzr/SPDR,2023.0,"(Xu and Li, 2023)",False,,21.0,method_manifest,,
IVIS,IVIS,Full benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,Ivis employs a concatenated neural network and triplet loss to map high-dimensional data to low dimensions while supporting rapid embedding of new data points.,python,https://github.com/beringresearch/ivis,2019.0,"(Szubert et al., 2019)",False,,22.0,method_manifest,,
PaCMAP,PaCMAP,Full benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,"PaCMAP preserves the neighborhood structure of data while performing dimensionality reduction by constructing three types of point pairs: nearest neighbors, intermediate neighbors, and distant neighbors.",python,https://github.com/YingfanWang/PaCMAP,2021.0,"(Y. Wang et al., n.d.)",False,,23.0,method_manifest,,
t-SNE,t-SNE,Full benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,t-SNE transforms the similarity between high-dimensional points into probability distributions and matches these distributions in a low-dimensional space to achieve dimensionality reduction while preserving structural information.,R,Rtsne 0.17,2008.0,"(Hinton and Roweis, n.d.)",False,,24.0,method_manifest,,
TriMap,TriMap,Full benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,TriMap learns low-dimensional embeddings by sampling triplet constraints from high-dimensional data and optimizing the loss function.,python,https://github.com/eamid/trimap?tab=readme-ov-file,2019.0,"(Amid and Warmuth, 2022)",False,,25.0,method_manifest,,
SQuaD-MDS,SQuaD-MDS,Full benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,"SQuadMDS randomly groups data into quadruplets and utilizes gradient descent to optimize relative distance error, achieving multidimensional scaling with linear complexity.",python,https://github.com/PierreLambert3/SQuaD-MDS-and-FItSNE-hybrid,2022.0,"(Lambert et al., 2022)",False,,26.0,method_manifest,,
Parametric UMAP 50,UMAP,Result variants,Graph-Based and Diffusion Geometry Models,graph/diffusion,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its neighborhood structure.,python,https://github.com/lmcinnes/umap,2018.0,"(Becht et al., 2019)",True,Shown in benchmark result files as a parameter/workflow variant.,27.0,method_manifest,,
Parametric UMAP 200,UMAP,Result variants,Graph-Based and Diffusion Geometry Models,graph/diffusion,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its neighborhood structure.,python,https://github.com/lmcinnes/umap,2018.0,"(Becht et al., 2019)",True,Shown in benchmark result files as a parameter/workflow variant.,28.0,method_manifest,,
SQuaD-MDS hybrid,SQuaD-MDS,Result variants,Metric Learning and Structure-Aware Embedding,metric/structure-aware,"SQuadMDS randomly groups data into quadruplets and utilizes gradient descent to optimize relative distance error, achieving multidimensional scaling with linear complexity.",python,https://github.com/PierreLambert3/SQuaD-MDS-and-FItSNE-hybrid,2022.0,"(Lambert et al., 2022)",True,Shown in benchmark result files as a parameter/workflow variant.,29.0,method_manifest,,
scVI,scVI,Targeted analysis,Deep Autoencoders and Generative Models,deep generative/autoencoder,Deep generative model included only in targeted sensitivity analyses.,Python,scvi-tools,,,False,Not counted as a full 100-dataset benchmark method in the manuscript.,30.0,method_manifest,,
,,,,,,,,,,,,,metric_domains,local,25.0
,,,,,,,,,,,,,metric_domains,global,7.0
,,,,,,,,,,,,,metric_domains,clustering,15.0
,,,,,,,,,,,,,metric_domains,efficiency,2.0
,,,,,,,,,,,,,metric_domains,stability,9.0
