method_id,parent_method,benchmark_scope,method_family_raw,method_family,implementation_principle,implementation_language,source_or_url,publication_year,reference,is_variant,variant_note,method_order
SCDRHA,SCDRHA,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"SCDRHA first applies DCA for denoising, then employs a graph attention autoencoder for dimensionality reduction",python,https://github.com/WHY-17/SCDRHA,2021,"(Zhao et al., 2021)",False,,13
scGAE,scGAE,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,scGAE achieves dimensionality reduction by constructing cell maps and using graph autoencoders,python,https://github.com/ZixiangLuo1161/scGAE,2021,"(Luo et al., 2021)",False,,14
DREAM,DREAM,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"DREAM employs a combination of variational autoencoders and mixture of Gaussians for dimensionality reduction of scRNA-seq data, utilizing a ZI layer to handle dropout events",python,https://github.com/Crystal-JJ/DREAM,2023,"(Jiang et al., 2023)",False,,15
DRA,DRA,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,DRA employs adversarial variational autoencoders for dimensionality reduction,python,https://github.com/eugenelin1/DRA,2020,"(Lin et al., 2020)",False,,16
UMAP,UMAP,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its topological structure.,python,https://github.com/lmcinnes/umap,2018,"(Becht et al., 2019)",False,,17
SIMLR,SIMLR,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,"SIMLR adaptively learns the optimal similarity matrix between cells through multi-core learning, utilizing this matrix for dimensionality reduction.",R,https://github.com/BatzoglouLabSU/SIMLR,2017,"(B. Wang et al., n.d.)",False,,18
PHATE,PHATE,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,PHATE performs dimensionality reduction through multidimensional scaling analysis while preserving topological information by constructing the diffusion geometry of the data.,python,https://github.com/KrishnaswamyLab/PHATE,2017,"(Moon et al., 2019)",False,,19
EDGE,EDGE,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,EDGE constructs an inter-cell similarity matrix by integrating numerous weak learners and performs dimensionality reduction based on this matrix.,R,https://github.com/shawnstat/EDGE,2020,"(Sun et al., 2020)",False,,20
SPDR,SPDR,full_26_method_benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,SPDR achieves dimension reduction that preserves data structure while correcting batch effects by cross-batch sampling triplets and optimizing the loss function.,python,https://github.com/eleozzr/SPDR,2023,"(Xu and Li, 2023)",False,,21
IVIS,IVIS,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,Ivis employs a concatenated neural network and triplet loss to map high-dimensional data to low dimensions while supporting rapid embedding of new data points.,python,https://github.com/beringresearch/ivis,2019,"(Szubert et al., 2019)",False,,22
PaCMAP,PaCMAP,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,"PaCMAP preserves the topological structure of data while performing dimensionality reduction by constructing three types of point pairs: nearest neighbors, intermediate neighbors, and distant neighbors.",python,https://github.com/YingfanWang/PaCMAP,2021,"(Y. Wang et al., n.d.)",False,,23
t-SNE,t-SNE,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,t-SNE transforms the similarity between high-dimensional points into probability distributions and matches these distributions in a low-dimensional space to achieve dimensionality reduction while preserving structural information.,R,Rtsne 0.17,2008,"(Hinton and Roweis, n.d.)",False,,24
TriMap,TriMap,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,TriMap learns low-dimensional embeddings by sampling triplet constraints from high-dimensional data and optimizing the loss function.,python,https://github.com/eamid/trimap?tab=readme-ov-file,2019,"(Amid and Warmuth, 2022)",False,,25
SQuaD-MDS,SQuaD-MDS,full_26_method_benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,"SQuadMDS randomly groups data into quadruplets and utilizes gradient descent to optimize relative distance error, achieving multidimensional scaling with linear complexity.",python,https://github.com/PierreLambert3/SQuaD-MDS-and-FItSNE-hybrid,2022,"(Lambert et al., 2022)",False,,26
Parametric UMAP 50,UMAP,original_result_variant,Graph-Based and Diffusion Geometry Models,graph/diffusion,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its topological structure.,python,https://github.com/lmcinnes/umap,2018,"(Becht et al., 2019)",True,Shown in original result files as a parameter/workflow variant.,27
Parametric UMAP 200,UMAP,original_result_variant,Graph-Based and Diffusion Geometry Models,graph/diffusion,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its topological structure.,python,https://github.com/lmcinnes/umap,2018,"(Becht et al., 2019)",True,Shown in original result files as a parameter/workflow variant.,28
SQuaD-MDS hybrid,SQuaD-MDS,original_result_variant,Metric Learning and Structure-Aware Embedding,metric/structure-aware,"SQuadMDS randomly groups data into quadruplets and utilizes gradient descent to optimize relative distance error, achieving multidimensional scaling with linear complexity.",python,https://github.com/PierreLambert3/SQuaD-MDS-and-FItSNE-hybrid,2022,"(Lambert et al., 2022)",True,Shown in original result files as a parameter/workflow variant.,29
scVI,scVI,targeted_revision_control_only,Deep Autoencoders and Generative Models,deep generative/autoencoder,Deep generative model included only in targeted revision-control analyses.,Python,scvi-tools,,,False,Not counted as a full 100-dataset benchmark method in the revised manuscript.,30
